I, [2016-07-30T12:16:03.557106 #8565]  INFO -- Kitchen: -----> Starting Kitchen (v1.10.0)
E, [2016-07-30T12:16:03.557355 #8565] ERROR -- Kitchen: ------Exception-------
E, [2016-07-30T12:16:03.557382 #8565] ERROR -- Kitchen: Class: Kitchen::UserError
E, [2016-07-30T12:16:03.557397 #8565] ERROR -- Kitchen: Message: Kitchen YAML file /home/gary/chef-repo/cookbooks/.kitchen.yml does not exist.
E, [2016-07-30T12:16:03.557412 #8565] ERROR -- Kitchen: ----------------------
E, [2016-07-30T12:16:03.557439 #8565] ERROR -- Kitchen: ------Backtrace-------
E, [2016-07-30T12:16:03.557451 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/loader/yaml.rb:74:in `read'
E, [2016-07-30T12:16:03.557463 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:154:in `data'
E, [2016-07-30T12:16:03.557475 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:133:in `suites'
E, [2016-07-30T12:16:03.557486 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:184:in `filter_instances'
E, [2016-07-30T12:16:03.557498 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:143:in `build_instances'
E, [2016-07-30T12:16:03.557509 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/config.rb:119:in `instances'
E, [2016-07-30T12:16:03.557520 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command.rb:115:in `filtered_instances'
E, [2016-07-30T12:16:03.557532 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command.rb:145:in `parse_subcommand'
E, [2016-07-30T12:16:03.557543 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command/action.rb:38:in `block in call'
E, [2016-07-30T12:16:03.557554 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/2.1.0/benchmark.rb:279:in `measure'
E, [2016-07-30T12:16:03.557565 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/command/action.rb:37:in `call'
E, [2016-07-30T12:16:03.557577 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:56:in `perform'
E, [2016-07-30T12:16:03.557588 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:184:in `block (2 levels) in <class:CLI>'
E, [2016-07-30T12:16:03.557599 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/command.rb:27:in `run'
E, [2016-07-30T12:16:03.557611 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/invocation.rb:126:in `invoke_command'
E, [2016-07-30T12:16:03.557622 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/cli.rb:325:in `invoke_task'
E, [2016-07-30T12:16:03.557634 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor.rb:359:in `dispatch'
E, [2016-07-30T12:16:03.557645 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/thor-0.19.1/lib/thor/base.rb:440:in `start'
E, [2016-07-30T12:16:03.557657 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/bin/kitchen:13:in `block in <top (required)>'
E, [2016-07-30T12:16:03.557681 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/lib/kitchen/errors.rb:174:in `with_friendly_errors'
E, [2016-07-30T12:16:03.557693 #8565] ERROR -- Kitchen: /opt/chefdk/embedded/lib/ruby/gems/2.1.0/gems/test-kitchen-1.10.0/bin/kitchen:13:in `<top (required)>'
E, [2016-07-30T12:16:03.557704 #8565] ERROR -- Kitchen: /usr/bin/kitchen:17:in `load'
E, [2016-07-30T12:16:03.557715 #8565] ERROR -- Kitchen: /usr/bin/kitchen:17:in `<main>'
E, [2016-07-30T12:16:03.557730 #8565] ERROR -- Kitchen: ----End Backtrace-----
